20220829	17:47:01	e3cc6767-47ec-4cc5-b483-2cbda0074902	GET	undefined	/img/nice.jpg
20220829	17:47:09	8e2b24d3-6708-4ad4-9c42-e9a4c0035cb3	GET	undefined	/novo-index
20220829	17:47:09	c38d3bad-f75a-4ea7-a97e-f8d7ad8093ab	GET	undefined	/css/404.css
20220829	17:47:09	91f4775d-1a85-4ca8-9bc5-dc9b85a277cf	GET	undefined	/img/angry.jpg
20220829	17:47:27	376673ab-0b4f-49fd-9ef4-472619d51376	GET	undefined	/new-index
20220829	17:47:27	2e184d4d-b7d3-4e90-ac1c-b29ee4fe9f13	GET	undefined	/css/novo-index.css
20220829	17:47:27	124bacec-ba4c-4ccc-9834-62fa689b77d5	GET	undefined	/img/nice2.png
20220829	19:19:56	3be7efc5-1e21-4272-b758-5a5675fce4da	GET	undefined	/employees
20220829	19:20:30	82a14276-209f-467c-93c8-6b315d916b19	POST	undefined	/employees
20220829	19:21:48	f1069cfc-09b6-4235-b9c4-69a566b20945	POST	undefined	/employees
20220829	19:21:57	a3cd3bf5-d6b6-466e-8448-5d773cef0a8f	GET	undefined	/employees
20220829	19:22:17	55a13ffa-38f0-48b9-8c26-d29c58456400	POST	undefined	/employees
20220829	19:22:46	bb1cffe9-1d5c-4677-8fd8-952052560ac2	PUT	undefined	/employees
20220829	19:22:58	8661db7c-5e2d-4335-a29a-22f1a2e2dfda	GET	undefined	/employees
20220829	19:23:26	e8217711-7ff9-40e6-bfbc-172674d35306	PUT	undefined	/employees
20220829	19:23:38	99d0d00d-db2c-424e-96c2-9a1515748418	DELETE	undefined	/employees
20220829	19:23:50	79e64159-32d2-421f-aa8a-3355fdf9e243	PUT	undefined	/employees
20220829	19:24:12	20fd82bd-f629-4aa1-a5fc-2c2ad80d425f	POST	undefined	/employees
20220829	19:24:21	a5ba4fb2-953f-4739-83c2-45736e93d63a	GET	undefined	/employees
20220829	19:26:10	b45f527d-46ce-4908-9e2d-75829cb6068a	GET	undefined	/employees/1
20220829	19:26:17	d489dfb1-166e-4acc-b438-06bb48b7e810	GET	undefined	/employees/2
20220830	00:34:39	803e4599-f0c4-4e57-b19e-9471752749fd	POST	undefined	/employees
20220830	00:36:06	3967ae9b-249c-44d5-bb9b-b8d58f15e952	PUT	undefined	/employees
20220830	00:36:41	8786228b-3993-4921-80c3-93d5fa43faf4	DELETE	undefined	/employees
20220830	00:37:18	f568bbec-0b74-4591-a07d-cff7dbb7c2a2	GET	undefined	/employees
20220830	00:39:23	659e9f2d-78dc-4b2d-ac8f-44c8a4fa1431	GET	undefined	/employees/1
20220830	00:40:02	4447c6b2-3cee-474d-8688-5a4671bf8658	GET	undefined	/employees/1
20220830	00:40:42	c16b4ec1-fc37-4c88-82de-9cc5890a9607	GET	undefined	/employees/1
20220830	00:42:00	3fd35fca-c5da-48aa-81b4-56dd330a68dd	GET	undefined	/employees/1
20220830	00:42:03	50032f19-d2fc-4b08-a27c-6a2ea3df83b6	GET	undefined	/employees/2
20220830	00:42:07	43e7db64-dc97-4f73-8cfc-ad17e9f684d6	GET	undefined	/employees/2
20220830	01:13:52	a7c9ca87-9721-4dc4-9b0d-d4f3aa2362bf	GET	undefined	/
20220830	01:13:52	7f51af55-b1a7-4b74-9760-f186a6eb3b1f	GET	undefined	/css/404.css
20220830	01:13:52	d431dbc8-d65d-4062-a757-8a6ca18eb31d	GET	undefined	/img/angry.jpg
20220830	01:15:25	eb33cdee-724d-4ad9-a3ef-099645a4c333	POST	undefined	/auth
